"","Virus","Subtype","clade","day","Sample","sample_time","ferret","PFU","RNA","ratio","AUC_PFU","AUC_RNA","ratio_auc","trans","trans_cat","trans_3cat"
"76","CA147","H5N1","B3.13","d3","NIOSH","30min","6762",0.893544669085713,4.29555599401528,3.40201132492957,0.911273436046145,4.27724874833091,3.36597531228476,0,"non-transmissible","Non-transmissible"
"77","CA147","H5N1","B3.13","d3","NIOSH","30min","6763",0.717453410030032,3.76826636896175,3.05081295893172,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"78","CA147","H5N1","B3.13","d3","NIOSH","30min","6764",0.416423414366051,4.28176521207128,3.86534179770523,1.06963592814139,4.57493368789977,3.50529775975838,0,"non-transmissible","Non-transmissible"
"79","CA147","H5N1","B3.13","d3","NIOSH","30min","6762",0,4.17105856855135,0,0.911273436046145,4.27724874833091,3.36597531228476,0,"non-transmissible","Non-transmissible"
"80","CA147","H5N1","B3.13","d3","NIOSH","30min","6763",1.01848340569401,3.56770051070388,2.54921710500987,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"81","CA147","H5N1","B3.13","d3","NIOSH","30min","6764",0.893544669085713,4.68541560097094,3.79187093188522,1.06963592814139,4.57493368789977,3.50529775975838,0,"non-transmissible","Non-transmissible"
"82","CA147","H5N1","B3.13","d3","NW","","6762",5.84509804001426,9.08958949378878,3.24449145377452,6.55022835305509,9.28357226402456,2.73334391096947,0,"non-transmissible","Non-transmissible"
"83","CA147","H5N1","B3.13","d3","NW","","6763",6.77815125038364,9.73021101311599,2.95205976273234,8.01494034979294,9.75976634794925,1.74482599815631,0,"non-transmissible","Non-transmissible"
"84","CA147","H5N1","B3.13","d3","NW","","6764",6.69897000433602,9.37774540526623,2.67877540093021,7.22659990520736,9.76907756750982,2.54247766230246,0,"non-transmissible","Non-transmissible"
"85","CA147","H5N1","B3.13","d5","SPOT","30min","6763",0,0,0,-0.13917917572291,2.49505297498815,2.63423215071106,0,"non-transmissible","Non-transmissible"
"86","CA147","H5N1","B3.13","d5","NIOSH","30min","6763",1.62054339702198,4.59783894306776,2.97729554604578,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"87","CA147","H5N1","B3.13","d5","NIOSH","30min","6763",0.893544669085713,4.55053542120597,3.65699075212025,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"88","CA147","H5N1","B3.13","d5","NW","","6763",6.57978359661681,9.26427684057911,2.6844932439623,8.01494034979294,9.75976634794925,1.74482599815631,0,"non-transmissible","Non-transmissible"
"89","BC","H5N1","D1.1","d1","SPOT","30min","6759",1.52982754319359,3.17821248307766,1.64838493988407,0.86082082427709,2.50920576416116,1.64838493988407,0,"non-transmissible","Non-transmissible"
"90","BC","H5N1","D1.1","d1","SPOT","30min","6760",1.13188753452155,0,0,0.462880815605052,2.84327758851046,2.38039677290541,0,"non-transmissible","Non-transmissible"
"91","BC","H5N1","D1.1","d1","SPOT","30min","6761",0,0,0,-0.13917917572291,0,0,0,"non-transmissible","Non-transmissible"
"92","BC","H5N1","D1.1","d1","NIOSH","30min","6759",0.416423414366051,3.02113410280514,2.60471068843909,-0.185636576961912,2.83530005600715,3.02093663296906,0,"non-transmissible","Non-transmissible"
"93","BC","H5N1","D1.1","d1","NIOSH","30min","6759",0,0,0,-0.185636576961912,2.83530005600715,3.02093663296906,0,"non-transmissible","Non-transmissible"
"94","BC","H5N1","D1.1","d1","NIOSH","30min","6760",0.592514673421732,2.88378866554348,2.29127399212175,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
"95","BC","H5N1","D1.1","d1","NIOSH","30min","6760",0.11539341870207,0,0,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
"96","BC","H5N1","D1.1","d1","NIOSH","30min","6761",0.416423414366051,2.51738307438366,2.10095966001761,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"97","BC","H5N1","D1.1","d1","NIOSH","30min","6761",0,0,0,0.212303431710126,2.92114102006338,2.70883758835325,0,"non-transmissible","Non-transmissible"
"98","BC","H5N1","D1.1","d1","NW","","6759",5.69897000433602,7.50185310017497,1.80288309583895,6.64836001098093,8.93920024573225,2.29084023475132,0,"non-transmissible","Non-transmissible"
"99","BC","H5N1","D1.1","d1","NW","","6760",6.34242268082221,7.80139727298249,1.45897459216029,6.9912260756925,9.05959421249683,2.06836813680433,0,"non-transmissible","Non-transmissible"
"100","BC","H5N1","D1.1","d1","NW","","6761",5.38021124171161,6.8476687692363,1.4674575275247,6.60959440922522,8.63511632413731,2.02552191491209,0,"non-transmissible","Non-transmissible"
"101","BC","H5N1","D1.1","d2","SPOT","30min","6759",0,0,0,0.86082082427709,2.50920576416116,1.64838493988407,0,"non-transmissible","Non-transmissible"
"102","BC","H5N1","D1.1","d2","SPOT","30min","6760",0,0,0,0.462880815605052,2.84327758851046,2.38039677290541,0,"non-transmissible","Non-transmissible"
"103","BC","H5N1","D1.1","d2","SPOT","30min","6761",0,0,0,-0.13917917572291,0,0,0,"non-transmissible","Non-transmissible"
"104","BC","H5N1","D1.1","d2","NIOSH","30min","6759",0,2.92625772856475,0,-0.185636576961912,2.83530005600715,3.02093663296906,0,"non-transmissible","Non-transmissible"
"105","BC","H5N1","D1.1","d2","NIOSH","30min","6759",0,0,0,-0.185636576961912,2.83530005600715,3.02093663296906,0,"non-transmissible","Non-transmissible"
"106","BC","H5N1","D1.1","d2","NIOSH","30min","6760",0.893544669085713,2.92470191353731,2.03115724445159,1.04481234441636,3.534244079905,2.48943173548863,0,"non-transmissible","Non-transmissible"
